,empo_1,empo_2,empo_3
training_19992,Host-associated,Plant,Plant surface
training_19993,Host-associated,Animal,Animal distal gut
training_19994,Free-living,Non-saline,Water (non-saline)
training_19995,Free-living,Saline,Water (saline)
training_19996,Host-associated,Animal,Animal surface
training_19997,Free-living,Non-saline,Sediment (non-saline)
training_19998,Host-associated,Animal,Animal distal gut
training_19999,Host-associated,Animal,Animal secretion
training_20000,Host-associated,Animal,Animal distal gut
training_20001,Host-associated,Animal,Animal surface
training_20002,Host-associated,Animal,Animal secretion
training_20003,Free-living,Non-saline,Surface (non-saline)
training_20004,Free-living,Non-saline,Water (non-saline)
training_20005,Free-living,Non-saline,Water (non-saline)
training_20006,Host-associated,Animal,Animal surface
training_20007,Host-associated,Animal,Animal distal gut
training_20008,Free-living,Saline,Water (saline)
training_20009,Free-living,Non-saline,Water (non-saline)
training_20010,Host-associated,Animal,Animal secretion
training_20011,Host-associated,Animal,Animal corpus
training_20012,Host-associated,Animal,Animal surface
training_20013,Free-living,Non-saline,Water (non-saline)
training_20014,Host-associated,Animal,Animal surface
training_20015,Host-associated,Animal,Animal distal gut
training_20016,Free-living,Non-saline,Soil (non-saline)
training_20017,Host-associated,Animal,Animal distal gut
training_20018,Host-associated,Animal,Animal secretion
training_20019,Host-associated,Animal,Animal distal gut
training_20020,Host-associated,Animal,Animal surface
training_20021,Free-living,Non-saline,Water (non-saline)
training_20022,Free-living,Non-saline,Soil (non-saline)
training_20023,Free-living,Non-saline,Soil (non-saline)
training_20024,Free-living,Non-saline,Soil (non-saline)
training_20025,Free-living,Non-saline,Water (non-saline)
training_20026,Host-associated,Animal,Animal surface
training_20027,Host-associated,Animal,Animal secretion
training_20028,Host-associated,Animal,Animal distal gut
training_20029,Free-living,Saline,Surface (saline)
training_20030,Free-living,Non-saline,Water (non-saline)
training_20031,Free-living,Non-saline,Soil (non-saline)
training_20032,Free-living,Non-saline,Water (non-saline)
training_20033,Free-living,Non-saline,Soil (non-saline)
training_20034,Free-living,Non-saline,Soil (non-saline)
training_20035,Free-living,Non-saline,Surface (non-saline)
training_20036,Host-associated,Animal,Animal surface
training_20037,Host-associated,Animal,Animal distal gut
training_20038,Free-living,Non-saline,Surface (non-saline)
training_20039,Host-associated,Animal,Animal surface
training_20040,Host-associated,Animal,Animal proximal gut
training_20041,Host-associated,Animal,Animal surface
training_20042,Free-living,Non-saline,Sediment (non-saline)
training_20043,Free-living,Non-saline,Water (non-saline)
training_20044,Free-living,Non-saline,Soil (non-saline)
training_20045,Host-associated,Plant,Plant surface
training_20046,Host-associated,Animal,Animal surface
training_20047,Host-associated,Animal,Animal distal gut
training_20048,Host-associated,Plant,Plant surface
training_20049,Free-living,Non-saline,Water (non-saline)
training_20050,Free-living,Saline,Sediment (saline)
training_20051,Free-living,Non-saline,Soil (non-saline)
training_20052,Free-living,Non-saline,Soil (non-saline)
training_20053,Free-living,Non-saline,Water (non-saline)
training_20054,Host-associated,Animal,Animal distal gut
training_20055,Free-living,Saline,Water (saline)
training_20056,Free-living,Non-saline,Soil (non-saline)
training_20057,Free-living,Non-saline,Soil (non-saline)
training_20058,Host-associated,Plant,Plant surface
training_20059,Host-associated,Animal,Animal surface
training_20060,Host-associated,Animal,Animal secretion
training_20061,Free-living,Non-saline,Water (non-saline)
training_20062,Host-associated,Animal,Animal secretion
training_20063,Host-associated,Animal,Animal surface
training_20064,Host-associated,Animal,Animal distal gut
training_20065,Free-living,Non-saline,Water (non-saline)
training_20066,Free-living,Non-saline,Surface (non-saline)
training_20067,Host-associated,Animal,Animal distal gut
training_20068,Host-associated,Animal,Animal surface
training_20069,Free-living,Non-saline,Water (non-saline)
training_20070,Host-associated,Animal,Animal distal gut
training_20071,Host-associated,Plant,Plant surface
training_20072,Host-associated,Animal,Animal surface
training_20073,Free-living,Non-saline,Water (non-saline)
training_20074,Free-living,Non-saline,Sediment (non-saline)
training_20075,Free-living,Non-saline,Water (non-saline)
training_20076,Free-living,Non-saline,Water (non-saline)
training_20077,Free-living,Non-saline,Water (non-saline)
training_20078,Free-living,Non-saline,Soil (non-saline)
training_20079,Host-associated,Animal,Animal proximal gut
training_20080,Free-living,Saline,Water (saline)
training_20081,Free-living,Non-saline,Water (non-saline)
training_20082,Host-associated,Animal,Animal distal gut
training_20083,Host-associated,Animal,Animal surface
training_20084,Free-living,Non-saline,Water (non-saline)
training_20085,Host-associated,Animal,Animal distal gut
training_20086,Free-living,Saline,Water (saline)
training_20087,Host-associated,Animal,Animal distal gut
training_20088,Host-associated,Animal,Animal corpus
training_20089,Host-associated,Animal,Animal distal gut
training_20090,Host-associated,Animal,Animal proximal gut
training_20091,Free-living,Non-saline,Soil (non-saline)
training_20092,Free-living,Non-saline,Soil (non-saline)
training_20093,Host-associated,Animal,Animal distal gut
training_20094,Free-living,Non-saline,Soil (non-saline)
training_20095,Free-living,Non-saline,Water (non-saline)
training_20096,Host-associated,Animal,Animal distal gut
training_20097,Host-associated,Animal,Animal distal gut
training_20098,Host-associated,Animal,Animal distal gut
training_20099,Host-associated,Plant,Plant corpus
training_20100,Free-living,Non-saline,Soil (non-saline)
training_20101,Free-living,Non-saline,Soil (non-saline)
training_20102,Free-living,Non-saline,Soil (non-saline)
training_20103,Free-living,Non-saline,Soil (non-saline)
training_20104,Free-living,Non-saline,Sediment (non-saline)
training_20105,Host-associated,Animal,Animal secretion
training_20106,Free-living,Non-saline,Water (non-saline)
training_20107,Free-living,Non-saline,Water (non-saline)
training_20108,Free-living,Non-saline,Surface (non-saline)
training_20109,Free-living,Saline,Sediment (saline)
training_20110,Free-living,Non-saline,Sediment (non-saline)
training_20111,Free-living,Non-saline,Surface (non-saline)
training_20112,Host-associated,Animal,Animal surface
training_20113,Free-living,Non-saline,Soil (non-saline)
training_20114,Host-associated,Animal,Animal surface
training_20115,Free-living,Non-saline,Water (non-saline)
training_20116,Free-living,Non-saline,Water (non-saline)
training_20117,Host-associated,Animal,Animal distal gut
training_20118,Free-living,Non-saline,Soil (non-saline)
training_20119,Host-associated,Plant,Plant surface
training_20120,Host-associated,Animal,Animal surface
training_20121,Host-associated,Animal,Animal surface
training_20122,Host-associated,Plant,Plant surface
training_20123,Free-living,Non-saline,Surface (non-saline)
training_20124,Host-associated,Animal,Animal distal gut
training_20125,Free-living,Non-saline,Soil (non-saline)
training_20126,Free-living,Non-saline,Water (non-saline)
training_20127,Host-associated,Animal,Animal surface
training_20128,Host-associated,Animal,Animal distal gut
training_20129,Host-associated,Plant,Plant rhizosphere
training_20130,Free-living,Non-saline,Soil (non-saline)
training_20131,Free-living,Non-saline,Soil (non-saline)
training_20132,Host-associated,Plant,Plant surface
training_20133,Host-associated,Animal,Animal surface
training_20134,Free-living,Saline,Sediment (saline)
training_20135,Host-associated,Animal,Animal surface
training_20136,Free-living,Non-saline,Water (non-saline)
training_20137,Host-associated,Animal,Animal distal gut
training_20138,Free-living,Non-saline,Water (non-saline)
training_20139,Free-living,Non-saline,Surface (non-saline)
training_20140,Free-living,Non-saline,Soil (non-saline)
training_20141,Host-associated,Animal,Animal distal gut
training_20142,Host-associated,Animal,Animal surface
training_20143,Host-associated,Plant,Plant rhizosphere
training_20144,Free-living,Non-saline,Soil (non-saline)
training_20145,Free-living,Non-saline,Aerosol (non-saline)
training_20146,Host-associated,Plant,Plant rhizosphere
training_20147,Free-living,Non-saline,Water (non-saline)
training_20148,Host-associated,Animal,Animal surface
training_20149,Host-associated,Animal,Animal corpus
training_20150,Free-living,Non-saline,Soil (non-saline)
training_20151,Free-living,Non-saline,Surface (non-saline)
training_20152,Host-associated,Animal,Animal surface
training_20153,Host-associated,Animal,Animal distal gut
training_20154,Free-living,Non-saline,Water (non-saline)
training_20155,Free-living,Non-saline,Surface (non-saline)
training_20156,Free-living,Non-saline,Water (non-saline)
training_20157,Host-associated,Animal,Animal surface
training_20158,Free-living,Non-saline,Soil (non-saline)
training_20159,Free-living,Non-saline,Water (non-saline)
training_20160,Host-associated,Plant,Plant surface
training_20161,Host-associated,Animal,Animal distal gut
training_20162,Host-associated,Animal,Animal distal gut
training_20163,Host-associated,Plant,Plant surface
training_20164,Free-living,Saline,Water (saline)
training_20165,Free-living,Non-saline,Soil (non-saline)
training_20166,Host-associated,Animal,Animal distal gut
training_20167,Host-associated,Animal,Animal distal gut
training_20168,Free-living,Non-saline,Soil (non-saline)
training_20169,Host-associated,Animal,Animal distal gut
training_20170,Free-living,Non-saline,Water (non-saline)
training_20171,Free-living,Non-saline,Soil (non-saline)
training_20172,Free-living,Non-saline,Sediment (non-saline)
training_20173,Free-living,Non-saline,Water (non-saline)
training_20174,Free-living,Saline,Water (saline)
training_20175,Host-associated,Animal,Animal surface
training_20176,Free-living,Non-saline,Soil (non-saline)
training_20177,Free-living,Non-saline,Soil (non-saline)
training_20178,Host-associated,Animal,Animal secretion
training_20179,Free-living,Non-saline,Water (non-saline)
training_20180,Host-associated,Animal,Animal secretion
training_20181,Host-associated,Animal,Animal secretion
training_20182,Host-associated,Animal,Animal surface
training_20183,Host-associated,Animal,Animal corpus
training_20184,Free-living,Saline,Sediment (saline)
training_20185,Free-living,Non-saline,Water (non-saline)
training_20186,Host-associated,Animal,Animal distal gut
training_20187,Free-living,Saline,Sediment (saline)
training_20188,Host-associated,Plant,Plant surface
training_20189,Host-associated,Animal,Animal secretion
training_20190,Host-associated,Animal,Animal surface
training_20191,Free-living,Non-saline,Surface (non-saline)
training_20192,Host-associated,Plant,Plant rhizosphere
training_20193,Host-associated,Animal,Animal surface
training_20194,Host-associated,Plant,Plant surface
training_20195,Host-associated,Animal,Animal distal gut
training_20196,Host-associated,Plant,Plant surface
training_20197,Host-associated,Plant,Plant rhizosphere
training_20198,Host-associated,Animal,Animal distal gut
training_20199,Free-living,Non-saline,Surface (non-saline)
training_20200,Free-living,Non-saline,Water (non-saline)
training_20201,Host-associated,Animal,Animal distal gut
training_20202,Free-living,Non-saline,Soil (non-saline)
training_20203,Free-living,Saline,Water (saline)
training_20204,Host-associated,Animal,Animal surface
training_20205,Free-living,Non-saline,Surface (non-saline)
training_20206,Host-associated,Animal,Animal distal gut
training_20207,Free-living,Non-saline,Soil (non-saline)
training_20208,Host-associated,Animal,Animal distal gut
training_20209,Free-living,Non-saline,Water (non-saline)
training_20210,Host-associated,Animal,Animal secretion
training_20211,Free-living,Non-saline,Soil (non-saline)
training_20212,Host-associated,Animal,Animal proximal gut
training_20213,Free-living,Non-saline,Soil (non-saline)
training_20214,Host-associated,Plant,Plant rhizosphere
training_20215,Free-living,Non-saline,Water (non-saline)
training_20216,Free-living,Non-saline,Surface (non-saline)
training_20217,Host-associated,Animal,Animal surface
training_20218,Free-living,Non-saline,Soil (non-saline)
training_20219,Free-living,Non-saline,Water (non-saline)
training_20220,Host-associated,Animal,Animal distal gut
training_20221,Host-associated,Animal,Animal surface
training_20222,Host-associated,Animal,Animal proximal gut
training_20223,Host-associated,Plant,Plant surface
training_20224,Free-living,Saline,Water (saline)
training_20225,Host-associated,Animal,Animal distal gut
training_20226,Host-associated,Plant,Plant surface
training_20227,Free-living,Non-saline,Water (non-saline)
training_20228,Free-living,Saline,Sediment (saline)
training_20229,Free-living,Non-saline,Soil (non-saline)
training_20230,Host-associated,Animal,Animal distal gut
training_20231,Host-associated,Animal,Animal proximal gut
training_20232,Free-living,Saline,Sediment (saline)
training_20233,Host-associated,Plant,Plant surface
training_20234,Free-living,Non-saline,Water (non-saline)
training_20235,Free-living,Non-saline,Sediment (non-saline)
training_20236,Host-associated,Plant,Plant surface
training_20237,Host-associated,Animal,Animal surface
training_20238,Host-associated,Plant,Plant surface
training_20239,Host-associated,Animal,Animal distal gut
training_20240,Free-living,Non-saline,Water (non-saline)
training_20241,Free-living,Non-saline,Soil (non-saline)
training_20242,Host-associated,Animal,Animal distal gut
training_20243,Host-associated,Animal,Animal surface
training_20244,Host-associated,Plant,Plant corpus
training_20245,Host-associated,Animal,Animal distal gut
training_20246,Host-associated,Animal,Animal proximal gut
training_20247,Free-living,Non-saline,Water (non-saline)
training_20248,Host-associated,Animal,Animal proximal gut
training_20249,Free-living,Non-saline,Soil (non-saline)
training_20250,Host-associated,Animal,Animal distal gut
training_20251,Free-living,Non-saline,Water (non-saline)
training_20252,Free-living,Non-saline,Soil (non-saline)
training_20253,Free-living,Non-saline,Water (non-saline)
training_20254,Host-associated,Animal,Animal surface
training_20255,Host-associated,Animal,Animal surface
training_20256,Host-associated,Animal,Animal distal gut
training_20257,Free-living,Non-saline,Surface (non-saline)
training_20258,Host-associated,Animal,Animal surface
training_20259,Free-living,Non-saline,Water (non-saline)
training_20260,Host-associated,Animal,Animal surface
training_20261,Free-living,Non-saline,Water (non-saline)
training_20262,Free-living,Non-saline,Water (non-saline)
training_20263,Host-associated,Animal,Animal distal gut
training_20264,Host-associated,Plant,Plant rhizosphere
training_20265,Free-living,Non-saline,Water (non-saline)
training_20266,Free-living,Non-saline,Surface (non-saline)
training_20267,Free-living,Non-saline,Soil (non-saline)
training_20268,Host-associated,Animal,Animal surface
training_20269,Free-living,Non-saline,Soil (non-saline)
training_20270,Host-associated,Animal,Animal surface
training_20271,Free-living,Non-saline,Surface (non-saline)
training_20272,Host-associated,Plant,Plant surface
training_20273,Free-living,Saline,Water (saline)
training_20274,Host-associated,Plant,Plant surface
training_20275,Host-associated,Plant,Plant surface
training_20276,Host-associated,Animal,Animal surface
training_20277,Host-associated,Plant,Plant surface
training_20278,Host-associated,Plant,Plant surface
training_20279,Host-associated,Animal,Animal surface
training_20280,Host-associated,Plant,Plant rhizosphere
training_20281,Free-living,Saline,Water (saline)
training_20282,Free-living,Non-saline,Water (non-saline)
training_20283,Free-living,Non-saline,Soil (non-saline)
training_20284,Host-associated,Plant,Plant corpus
training_20285,Host-associated,Plant,Plant surface
training_20286,Host-associated,Animal,Animal distal gut
training_20287,Host-associated,Animal,Animal distal gut
training_20288,Free-living,Non-saline,Water (non-saline)
training_20289,Host-associated,Animal,Animal distal gut
training_20290,Free-living,Non-saline,Soil (non-saline)
training_20291,Free-living,Non-saline,Water (non-saline)
training_20292,Free-living,Non-saline,Water (non-saline)
training_20293,Free-living,Non-saline,Soil (non-saline)
training_20294,Host-associated,Animal,Animal distal gut
training_20295,Host-associated,Animal,Animal surface
training_20296,Host-associated,Animal,Animal distal gut
training_20297,Free-living,Non-saline,Soil (non-saline)
training_20298,Free-living,Non-saline,Water (non-saline)
training_20299,Free-living,Non-saline,Water (non-saline)
training_20300,Host-associated,Animal,Animal surface
training_20301,Host-associated,Plant,Plant surface
training_20302,Free-living,Non-saline,Soil (non-saline)
training_20303,Free-living,Non-saline,Soil (non-saline)
training_20304,Free-living,Non-saline,Water (non-saline)
training_20305,Host-associated,Animal,Animal surface
training_20306,Host-associated,Plant,Plant surface
training_20307,Host-associated,Animal,Animal secretion
training_20308,Host-associated,Plant,Plant rhizosphere
training_20309,Host-associated,Animal,Animal surface
training_20310,Host-associated,Animal,Animal distal gut
training_20311,Host-associated,Animal,Animal surface
training_20312,Free-living,Non-saline,Surface (non-saline)
training_20313,Free-living,Non-saline,Water (non-saline)
training_20314,Host-associated,Animal,Animal surface
training_20315,Host-associated,Animal,Animal surface
training_20316,Free-living,Non-saline,Surface (non-saline)
training_20317,Host-associated,Animal,Animal surface
training_20318,Host-associated,Animal,Animal surface
training_20319,Free-living,Saline,Surface (saline)
training_20320,Free-living,Non-saline,Soil (non-saline)
training_20321,Host-associated,Animal,Animal distal gut
training_20322,Host-associated,Plant,Plant surface
training_20323,Host-associated,Animal,Animal distal gut
training_20324,Free-living,Non-saline,Surface (non-saline)
training_20325,Host-associated,Animal,Animal distal gut
training_20326,Free-living,Non-saline,Sediment (non-saline)
training_20327,Host-associated,Animal,Animal surface
training_20328,Free-living,Non-saline,Water (non-saline)
training_20329,Host-associated,Animal,Animal secretion
training_20330,Free-living,Non-saline,Water (non-saline)
training_20331,Free-living,Non-saline,Water (non-saline)
training_20332,Host-associated,Plant,Plant surface
training_20333,Free-living,Non-saline,Water (non-saline)
training_20334,Free-living,Non-saline,Soil (non-saline)
training_20335,Free-living,Non-saline,Soil (non-saline)
training_20336,Host-associated,Animal,Animal surface
training_20337,Free-living,Non-saline,Water (non-saline)
training_20338,Free-living,Saline,Sediment (saline)
training_20339,Host-associated,Animal,Animal proximal gut
training_20340,Host-associated,Animal,Animal distal gut
training_20341,Host-associated,Plant,Plant surface
training_20342,Free-living,Non-saline,Soil (non-saline)
training_20343,Host-associated,Animal,Animal distal gut
training_20344,Host-associated,Animal,Animal secretion
training_20345,Host-associated,Animal,Animal secretion
training_20346,Free-living,Saline,Water (saline)
training_20347,Free-living,Non-saline,Water (non-saline)
training_20348,Host-associated,Animal,Animal proximal gut
training_20349,Host-associated,Animal,Animal surface
training_20350,Host-associated,Animal,Animal surface
training_20351,Free-living,Non-saline,Water (non-saline)
training_20352,Free-living,Non-saline,Soil (non-saline)
training_20353,Free-living,Non-saline,Soil (non-saline)
training_20354,Host-associated,Animal,Animal distal gut
training_20355,Free-living,Non-saline,Surface (non-saline)
training_20356,Free-living,Non-saline,Water (non-saline)
training_20357,Free-living,Saline,Water (saline)
training_20358,Free-living,Non-saline,Water (non-saline)
training_20359,Host-associated,Animal,Animal distal gut
training_20360,Free-living,Non-saline,Soil (non-saline)
training_20361,Free-living,Non-saline,Water (non-saline)
training_20362,Host-associated,Animal,Animal distal gut
training_20363,Free-living,Non-saline,Soil (non-saline)
training_20364,Host-associated,Animal,Animal surface
training_20365,Host-associated,Plant,Plant rhizosphere
training_20366,Host-associated,Animal,Animal distal gut
training_20367,Host-associated,Animal,Animal surface
training_20368,Free-living,Non-saline,Soil (non-saline)
training_20369,Host-associated,Animal,Animal distal gut
training_20370,Host-associated,Animal,Animal surface
training_20371,Free-living,Non-saline,Water (non-saline)
training_20372,Host-associated,Plant,Plant surface
training_20373,Host-associated,Animal,Animal surface
training_20374,Host-associated,Animal,Animal distal gut
training_20375,Free-living,Non-saline,Soil (non-saline)
training_20376,Free-living,Non-saline,Soil (non-saline)
training_20377,Free-living,Non-saline,Sediment (non-saline)
training_20378,Free-living,Non-saline,Water (non-saline)
training_20379,Free-living,Non-saline,Soil (non-saline)
training_20380,Free-living,Non-saline,Soil (non-saline)
training_20381,Host-associated,Plant,Plant rhizosphere
training_20382,Free-living,Non-saline,Water (non-saline)
training_20383,Host-associated,Plant,Plant rhizosphere
training_20384,Free-living,Non-saline,Water (non-saline)
training_20385,Host-associated,Animal,Animal surface
training_20386,Free-living,Non-saline,Soil (non-saline)
training_20387,Host-associated,Animal,Animal secretion
training_20388,Host-associated,Animal,Animal distal gut
training_20389,Free-living,Non-saline,Soil (non-saline)
training_20390,Free-living,Non-saline,Water (non-saline)
training_20391,Host-associated,Plant,Plant rhizosphere
training_20392,Free-living,Saline,Water (saline)
training_20393,Free-living,Non-saline,Water (non-saline)
training_20394,Host-associated,Animal,Animal surface
training_20395,Free-living,Non-saline,Sediment (non-saline)
training_20396,Host-associated,Animal,Animal surface
training_20397,Host-associated,Animal,Animal surface
training_20398,Host-associated,Animal,Animal distal gut
training_20399,Host-associated,Plant,Plant surface
training_20400,Host-associated,Animal,Animal distal gut
training_20401,Free-living,Saline,Sediment (saline)
training_20402,Host-associated,Animal,Animal distal gut
training_20403,Free-living,Non-saline,Soil (non-saline)
training_20404,Host-associated,Animal,Animal corpus
training_20405,Free-living,Non-saline,Aerosol (non-saline)
training_20406,Free-living,Non-saline,Soil (non-saline)
training_20407,Free-living,Non-saline,Soil (non-saline)
training_20408,Free-living,Non-saline,Soil (non-saline)
training_20409,Free-living,Non-saline,Water (non-saline)
training_20410,Free-living,Non-saline,Soil (non-saline)
training_20411,Host-associated,Animal,Animal distal gut
training_20412,Free-living,Non-saline,Water (non-saline)
training_20413,Free-living,Non-saline,Sediment (non-saline)
training_20414,Host-associated,Plant,Plant surface
training_20415,Host-associated,Animal,Animal distal gut
training_20416,Host-associated,Animal,Animal corpus
training_20417,Host-associated,Animal,Animal distal gut
training_20418,Free-living,Saline,Sediment (saline)
training_20419,Host-associated,Animal,Animal surface
training_20420,Free-living,Non-saline,Water (non-saline)
training_20421,Host-associated,Animal,Animal surface
training_20422,Free-living,Non-saline,Sediment (non-saline)
training_20423,Host-associated,Animal,Animal surface
training_20424,Host-associated,Plant,Plant rhizosphere
training_20425,Free-living,Non-saline,Soil (non-saline)
training_20426,Host-associated,Animal,Animal secretion
training_20427,Free-living,Non-saline,Soil (non-saline)
training_20428,Free-living,Non-saline,Water (non-saline)
training_20429,Host-associated,Animal,Animal surface
training_20430,Host-associated,Animal,Animal surface
training_20431,Host-associated,Animal,Animal secretion
training_20432,Host-associated,Animal,Animal surface
training_20433,Free-living,Saline,Water (saline)
training_20434,Host-associated,Animal,Animal distal gut
training_20435,Host-associated,Animal,Animal surface
training_20436,Free-living,Non-saline,Soil (non-saline)
training_20437,Free-living,Non-saline,Water (non-saline)
training_20438,Host-associated,Animal,Animal surface
training_20439,Free-living,Non-saline,Water (non-saline)
training_20440,Host-associated,Animal,Animal distal gut
training_20441,Free-living,Non-saline,Water (non-saline)
training_20442,Free-living,Saline,Sediment (saline)
training_20443,Host-associated,Animal,Animal surface
training_20444,Host-associated,Animal,Animal distal gut
training_20445,Host-associated,Animal,Animal distal gut
training_20446,Free-living,Non-saline,Water (non-saline)
training_20447,Free-living,Non-saline,Soil (non-saline)
training_20448,Free-living,Non-saline,Water (non-saline)
training_20449,Free-living,Non-saline,Sediment (non-saline)
training_20450,Host-associated,Animal,Animal distal gut
training_20451,Host-associated,Animal,Animal distal gut
training_20452,Host-associated,Animal,Animal proximal gut
training_20453,Free-living,Non-saline,Soil (non-saline)
training_20454,Free-living,Non-saline,Water (non-saline)
training_20455,Host-associated,Animal,Animal distal gut
training_20456,Host-associated,Animal,Animal secretion
training_20457,Host-associated,Plant,Plant surface
training_20458,Host-associated,Animal,Animal surface
training_20459,Free-living,Non-saline,Soil (non-saline)
training_20460,Free-living,Non-saline,Water (non-saline)
training_20461,Free-living,Saline,Sediment (saline)
training_20462,Host-associated,Animal,Animal distal gut
training_20463,Free-living,Non-saline,Soil (non-saline)
training_20464,Free-living,Non-saline,Water (non-saline)
training_20465,Free-living,Non-saline,Soil (non-saline)
training_20466,Host-associated,Animal,Animal surface
training_20467,Host-associated,Animal,Animal distal gut
training_20468,Host-associated,Animal,Animal distal gut
training_20469,Free-living,Non-saline,Water (non-saline)
training_20470,Free-living,Non-saline,Water (non-saline)
training_20471,Host-associated,Animal,Animal distal gut
training_20472,Free-living,Non-saline,Water (non-saline)
training_20473,Host-associated,Animal,Animal surface
training_20474,Host-associated,Animal,Animal distal gut
training_20475,Host-associated,Animal,Animal surface
training_20476,Host-associated,Plant,Plant surface
training_20477,Host-associated,Animal,Animal surface
training_20478,Host-associated,Animal,Animal corpus
training_20479,Free-living,Non-saline,Soil (non-saline)
training_20480,Host-associated,Animal,Animal corpus
training_20481,Free-living,Non-saline,Soil (non-saline)
training_20482,Free-living,Non-saline,Soil (non-saline)
training_20483,Free-living,Non-saline,Water (non-saline)
training_20484,Free-living,Non-saline,Soil (non-saline)
training_20485,Host-associated,Animal,Animal surface
training_20486,Free-living,Non-saline,Water (non-saline)
training_20487,Free-living,Non-saline,Water (non-saline)
training_20488,Host-associated,Animal,Animal secretion
training_20489,Free-living,Non-saline,Soil (non-saline)
training_20490,Host-associated,Animal,Animal distal gut
training_20491,Host-associated,Animal,Animal distal gut
training_20492,Free-living,Non-saline,Surface (non-saline)
training_20493,Host-associated,Animal,Animal distal gut
training_20494,Free-living,Non-saline,Soil (non-saline)
training_20495,Free-living,Non-saline,Water (non-saline)
training_20496,Free-living,Non-saline,Water (non-saline)
training_20497,Free-living,Saline,Surface (saline)
training_20498,Free-living,Non-saline,Soil (non-saline)
training_20499,Free-living,Non-saline,Water (non-saline)
training_20500,Host-associated,Plant,Plant surface
training_20501,Host-associated,Animal,Animal surface
training_20502,Host-associated,Animal,Animal distal gut
training_20503,Free-living,Non-saline,Water (non-saline)
training_20504,Host-associated,Animal,Animal distal gut
training_20505,Host-associated,Animal,Animal distal gut
training_20506,Free-living,Saline,Water (saline)
training_20507,Host-associated,Animal,Animal distal gut
training_20508,Free-living,Non-saline,Water (non-saline)
training_20509,Free-living,Non-saline,Water (non-saline)
training_20510,Host-associated,Animal,Animal secretion
training_20511,Host-associated,Animal,Animal surface
training_20512,Free-living,Non-saline,Soil (non-saline)
training_20513,Free-living,Non-saline,Water (non-saline)
training_20514,Free-living,Non-saline,Water (non-saline)
training_20515,Host-associated,Animal,Animal secretion
training_20516,Host-associated,Plant,Plant surface
training_20517,Host-associated,Animal,Animal distal gut
training_20518,Host-associated,Animal,Animal secretion
training_20519,Free-living,Non-saline,Soil (non-saline)
training_20520,Free-living,Non-saline,Water (non-saline)
training_20521,Free-living,Non-saline,Soil (non-saline)
training_20522,Host-associated,Animal,Animal secretion
training_20523,Host-associated,Animal,Animal secretion
training_20524,Host-associated,Animal,Animal distal gut
training_20525,Host-associated,Animal,Animal distal gut
training_20526,Free-living,Non-saline,Surface (non-saline)
training_20527,Free-living,Saline,Sediment (saline)
training_20528,Free-living,Non-saline,Water (non-saline)
training_20529,Host-associated,Animal,Animal distal gut
training_20530,Free-living,Non-saline,Soil (non-saline)
training_20531,Host-associated,Animal,Animal secretion
training_20532,Host-associated,Animal,Animal surface
training_20533,Free-living,Non-saline,Water (non-saline)
training_20534,Free-living,Non-saline,Water (non-saline)
training_20535,Host-associated,Animal,Animal surface
training_20536,Free-living,Non-saline,Water (non-saline)
training_20537,Free-living,Non-saline,Soil (non-saline)
training_20538,Free-living,Non-saline,Soil (non-saline)
training_20539,Host-associated,Animal,Animal secretion
training_20540,Free-living,Non-saline,Water (non-saline)
training_20541,Free-living,Non-saline,Surface (non-saline)
training_20542,Free-living,Non-saline,Aerosol (non-saline)
training_20543,Host-associated,Animal,Animal proximal gut
training_20544,Free-living,Non-saline,Soil (non-saline)
training_20545,Host-associated,Animal,Animal distal gut
training_20546,Free-living,Non-saline,Soil (non-saline)
training_20547,Free-living,Non-saline,Soil (non-saline)
training_20548,Host-associated,Animal,Animal distal gut
training_20549,Host-associated,Animal,Animal surface
training_20550,Free-living,Non-saline,Surface (non-saline)
training_20551,Host-associated,Animal,Animal surface
training_20552,Host-associated,Animal,Animal surface
training_20553,Host-associated,Animal,Animal distal gut
training_20554,Free-living,Non-saline,Water (non-saline)
training_20555,Free-living,Non-saline,Soil (non-saline)
training_20556,Free-living,Non-saline,Soil (non-saline)
training_20557,Free-living,Non-saline,Surface (non-saline)
training_20558,Host-associated,Plant,Plant rhizosphere
training_20559,Host-associated,Animal,Animal surface
training_20560,Free-living,Non-saline,Water (non-saline)
training_20561,Host-associated,Animal,Animal proximal gut
training_20562,Host-associated,Animal,Animal surface
training_20563,Host-associated,Plant,Plant surface
training_20564,Free-living,Non-saline,Water (non-saline)
training_20565,Host-associated,Animal,Animal proximal gut
training_20566,Free-living,Non-saline,Water (non-saline)
training_20567,Free-living,Non-saline,Water (non-saline)
training_20568,Free-living,Non-saline,Soil (non-saline)
training_20569,Host-associated,Plant,Plant surface
training_20570,Free-living,Non-saline,Water (non-saline)
training_20571,Free-living,Non-saline,Sediment (non-saline)
training_20572,Host-associated,Animal,Animal corpus
training_20573,Host-associated,Animal,Animal distal gut
training_20574,Host-associated,Animal,Animal secretion
training_20575,Free-living,Non-saline,Surface (non-saline)
training_20576,Host-associated,Animal,Animal distal gut
training_20577,Host-associated,Animal,Animal surface
training_20578,Free-living,Saline,Sediment (saline)
training_20579,Host-associated,Animal,Animal distal gut
training_20580,Free-living,Non-saline,Soil (non-saline)
training_20581,Host-associated,Animal,Animal distal gut
training_20582,Free-living,Non-saline,Water (non-saline)
